Starts,Win(s),Win(s).1,Player,Record,Record.1,Team(s),Win %,Win %.1
10,6,6,Tom Brady‡,6-3,6-3,New England PatriotsA,.667,.667
10,6,0,Tom Brady‡,6-3,0-0,Tampa Bay BuccaneersN,.667,.000
5,2,2,John Elway*,2–3,2–3,Denver BroncosA,.400,.400
4,4,4,Terry Bradshaw*,4–0,4–0,Pittsburgh SteelersA,1.000,1.000
4,4,4,Joe Montana*,4–0,4–0,San Francisco 49ersN,1.000,1.000
4,2,2,Roger Staubach*,2–2,2–2,Dallas CowboysN,.500,.500
4,2,1,Peyton Manning‡,2–2,1–1,Indianapolis ColtsA,.500,.500
4,2,1,Peyton Manning‡,2–2,1–1,Denver BroncosA,.500,.500
4,0,0,Jim Kelly*,0–4,0–4,Buffalo BillsA,.000,.000
3,3,3,Troy Aikman*,3–0,3–0,Dallas CowboysN,1.000,1.000
3,2,2,Bob Griese*,2–1,2–1,Miami DolphinsA,.667,.667
3,2,2,Ben Roethlisberger,2–1,2–1,Pittsburgh SteelersA,.667,.667
3,1,1,Kurt Warner*,1–2,1–1,St. Louis RamsN,.333,.500
3,1,0,Kurt Warner*,1–2,0–1,Arizona CardinalsN,.333,.000
3,0,0,Fran Tarkenton*,0–3,0–3,Minnesota VikingsN,.000,.000
2,2,2,Bart Starr*,2–0,2–0,Green Bay Packersn,1.000,1.000
2,2,2,Jim Plunkett,2–0,2–0,Oakland/Los Angeles RaidersA,1.000,1.000
2,2,2,Eli Manning‡,2–0,2–0,New York GiantsN,1.000,1.000
2,1,1,Len Dawson*,1–1,1–1,Kansas City Chiefsa,.500,.500
2,1,1,Joe Theismann,1–1,1–1,Washington RedskinsN,.500,.500
2,1,1,Brett Favre*,1–1,1–1,Green Bay PackersN,.500,.500
2,1,1,Russell Wilson,1–1,1–1,Seattle SeahawksN,.500,.500
2,1,1,Patrick Mahomes,1–0,1–0,Kansas City ChiefsA,1.000,1.000
2,0,0,Craig Morton,0–2,0–1,Dallas CowboysN,.000,.000
2,0,0,Craig Morton,0–2,0–1,Denver BroncosA,.000,.000
